"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "TypeScript", "comment", "blank", "total"
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/address.model.d.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 1, 16
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/address.model.js", "JavaScript", 18, 0, 0, 0, 0, 1, 0, 19
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/admin/admin.model.d.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 1, 11
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/admin/admin.model.js", "JavaScript", 12, 0, 0, 0, 0, 1, 0, 13
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/admin/notification.model.d.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 1, 10
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/admin/notification.model.js", "JavaScript", 12, 0, 0, 0, 0, 1, 0, 13
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/admin/seller.model.d.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 1, 15
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/admin/seller.model.js", "JavaScript", 16, 0, 0, 0, 0, 1, 0, 17
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/answer.model.d.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 1, 22
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/answer.model.js", "JavaScript", 25, 0, 0, 0, 0, 1, 0, 26
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/app_version.model.d.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 1, 9
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/app_version.model.js", "JavaScript", 11, 0, 0, 0, 0, 1, 0, 12
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/carousel_item.model.d.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 1, 26
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/carousel_item.model.js", "JavaScript", 28, 0, 0, 0, 0, 1, 0, 29
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/cart-item.model.d.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 1, 9
"/Users/imsunil/projects/unboxedkart/development/user/server/dist/models/cart-item.model.js", "JavaScript", 10, 0, 0, 0, 0, 1, 0, 11
