"filename", "language", "TypeScript", "HTTP", "comment", "blank", "total"
"/Users/SunilsMac/nestprojects/server/src/faqs/dto/create-faq.dto.ts", "TypeScript", 9, 0, 2, 4, 15
"/Users/SunilsMac/nestprojects/server/src/faqs/faqs.controller.spec.ts", "TypeScript", 16, 0, 0, 5, 21
"/Users/SunilsMac/nestprojects/server/src/faqs/faqs.controller.ts", "TypeScript", 43, 0, 0, 4, 47
"/Users/SunilsMac/nestprojects/server/src/faqs/faqs.module.ts", "TypeScript", 20, 0, 0, 2, 22
"/Users/SunilsMac/nestprojects/server/src/faqs/faqs.service.spec.ts", "TypeScript", 14, 0, 0, 5, 19
"/Users/SunilsMac/nestprojects/server/src/faqs/faqs.service.ts", "TypeScript", 29, 0, 0, 6, 35
"/Users/SunilsMac/nestprojects/server/src/favorites/favorites.controller.ts", "TypeScript", 45, 0, 1, 5, 51
"/Users/SunilsMac/nestprojects/server/src/favorites/favorites.module.ts", "TypeScript", 20, 0, 0, 2, 22
"/Users/SunilsMac/nestprojects/server/src/favorites/favorites.service.ts", "TypeScript", 74, 0, 0, 5, 79
"/Users/SunilsMac/nestprojects/server/src/mail/mail.module.ts", "TypeScript", 24, 0, 0, 2, 26
"/Users/SunilsMac/nestprojects/server/src/mail/mail.service.spec.ts", "TypeScript", 14, 0, 0, 5, 19
"/Users/SunilsMac/nestprojects/server/src/mail/mail.service.ts", "TypeScript", 3, 0, 0, 2, 5
"/Users/SunilsMac/nestprojects/server/src/main.ts", "TypeScript", 19, 0, 4, 2, 25
"/Users/SunilsMac/nestprojects/server/src/models/address.model.ts", "TypeScript", 28, 0, 0, 3, 31
"/Users/SunilsMac/nestprojects/server/src/models/answer.model.ts", "TypeScript", 35, 0, 0, 4, 39
"/Users/SunilsMac/nestprojects/server/src/models/carousel_item.model.ts", "TypeScript", 30, 0, 0, 4, 34
"/Users/SunilsMac/nestprojects/server/src/models/cart-item.model.ts", "TypeScript", 13, 0, 0, 3, 16
"/Users/SunilsMac/nestprojects/server/src/models/coupon.model.ts", "TypeScript", 59, 0, 1, 7, 67
"/Users/SunilsMac/nestprojects/server/src/models/faq.model.ts", "TypeScript", 9, 0, 0, 3, 12
"/Users/SunilsMac/nestprojects/server/src/models/favorite.model.ts", "TypeScript", 11, 0, 0, 3, 14
"/Users/SunilsMac/nestprojects/server/src/models/item-purchased-user.model.ts", "TypeScript", 27, 0, 0, 3, 30
"/Users/SunilsMac/nestprojects/server/src/models/order.model.ts", "TypeScript", 105, 0, 20, 11, 136
"/Users/SunilsMac/nestprojects/server/src/models/orderItem.model.ts", "TypeScript", 116, 0, 1, 3, 120
"/Users/SunilsMac/nestprojects/server/src/models/order_summary.model.ts", "TypeScript", 22, 0, 0, 3, 25
"/Users/SunilsMac/nestprojects/server/src/models/product-description.ts", "TypeScript", 9, 0, 0, 5, 14
"/Users/SunilsMac/nestprojects/server/src/models/product-specs.ts", "TypeScript", 19, 0, 0, 3, 22
"/Users/SunilsMac/nestprojects/server/src/models/product.model.ts", "TypeScript", 66, 0, 0, 3, 69
"/Users/SunilsMac/nestprojects/server/src/models/product_data.model.ts", "TypeScript", 71, 0, 0, 3, 74
"/Users/SunilsMac/nestprojects/server/src/models/product_images.model.ts", "TypeScript", 17, 0, 0, 3, 20
"/Users/SunilsMac/nestprojects/server/src/models/q_and_a.model.ts", "TypeScript", 51, 0, 1, 3, 55
"/Users/SunilsMac/nestprojects/server/src/models/question.model.ts", "TypeScript", 38, 0, 0, 3, 41
"/Users/SunilsMac/nestprojects/server/src/models/referral_order.ts", "TypeScript", 47, 0, 0, 3, 50
"/Users/SunilsMac/nestprojects/server/src/models/refresh-token.model.ts", "TypeScript", 11, 0, 0, 3, 14
"/Users/SunilsMac/nestprojects/server/src/models/review.model.ts", "TypeScript", 27, 0, 0, 3, 30
"/Users/SunilsMac/nestprojects/server/src/models/reviews_data.model.ts", "TypeScript", 21, 0, 0, 3, 24
"/Users/SunilsMac/nestprojects/server/src/models/search_term.ts", "TypeScript", 13, 0, 0, 3, 16
"/Users/SunilsMac/nestprojects/server/src/models/store_location.model.ts", "TypeScript", 23, 0, 0, 3, 26
"/Users/SunilsMac/nestprojects/server/src/models/user.model.ts", "TypeScript", 110, 0, 1, 4, 115
"/Users/SunilsMac/nestprojects/server/src/models/variants_data.model.ts", "TypeScript", 17, 0, 0, 3, 20
"/Users/SunilsMac/nestprojects/server/src/order-summary/dto/add-address.dto.ts", "TypeScript", 37, 0, 14, 19, 70
"/Users/SunilsMac/nestprojects/server/src/order-summary/dto/add-selected-store.dto.ts", "TypeScript", 50, 0, 3, 15, 68
"/Users/SunilsMac/nestprojects/server/src/order-summary/dto/create-order-summary.dto.ts", "TypeScript", 9, 0, 0, 3, 12
"/Users/SunilsMac/nestprojects/server/src/order-summary/dto/update-count.dto.ts", "TypeScript", 12, 0, 0, 4, 16
"/Users/SunilsMac/nestprojects/server/src/order-summary/dto/verify-payment.dto.ts", "TypeScript", 12, 0, 0, 4, 16
"/Users/SunilsMac/nestprojects/server/src/order-summary/order-summary.controller.ts", "TypeScript", 106, 0, 9, 11, 126
"/Users/SunilsMac/nestprojects/server/src/order-summary/order-summary.module.ts", "TypeScript", 22, 0, 0, 2, 24
